timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1547521621491,1,HTTP Request,200,OK,entryTask 1-1,text,true,,208,138,1,1,http://127.0.0.1:8080/?a=123&b=%22hello%22,1,0,1
1547521621492,1,HTTP Request,200,OK,entryTask 1-1,text,true,,208,138,1,1,http://127.0.0.1:8080/?a=123&b=%22hello%22,1,0,0
1547521621493,1,HTTP Request,200,OK,entryTask 1-1,text,true,,208,138,1,1,http://127.0.0.1:8080/?a=123&b=%22hello%22,1,0,0
1547521621494,1,HTTP Request,200,OK,entryTask 1-1,text,true,,208,138,1,1,http://127.0.0.1:8080/?a=123&b=%22hello%22,1,0,0
1547521621495,1,HTTP Request,200,OK,entryTask 1-1,text,true,,208,138,1,1,http://127.0.0.1:8080/?a=123&b=%22hello%22,1,0,0
1547521621496,1,HTTP Request,200,OK,entryTask 1-1,text,true,,208,138,1,1,http://127.0.0.1:8080/?a=123&b=%22hello%22,1,0,0
1547521621497,0,HTTP Request,200,OK,entryTask 1-1,text,true,,208,138,1,1,http://127.0.0.1:8080/?a=123&b=%22hello%22,0,0,0
1547521621498,0,HTTP Request,200,OK,entryTask 1-1,text,true,,208,138,1,1,http://127.0.0.1:8080/?a=123&b=%22hello%22,0,0,0
1547521621498,1,HTTP Request,200,OK,entryTask 1-1,text,true,,208,138,1,1,http://127.0.0.1:8080/?a=123&b=%22hello%22,1,0,1
1547521621499,1,HTTP Request,200,OK,entryTask 1-1,text,true,,208,138,1,1,http://127.0.0.1:8080/?a=123&b=%22hello%22,1,0,0
1547521621500,1,HTTP Request,200,OK,entryTask 1-1,text,true,,208,138,1,1,http://127.0.0.1:8080/?a=123&b=%22hello%22,1,0,0
1547521621501,1,HTTP Request,200,OK,entryTask 1-1,text,true,,208,138,1,1,http://127.0.0.1:8080/?a=123&b=%22hello%22,1,0,0
1547521621502,1,HTTP Request,200,OK,entryTask 1-1,text,true,,208,138,1,1,http://127.0.0.1:8080/?a=123&b=%22hello%22,1,0,0
1547521621503,1,HTTP Request,200,OK,entryTask 1-1,text,true,,208,138,1,1,http://127.0.0.1:8080/?a=123&b=%22hello%22,0,0,0
1547521621504,0,HTTP Request,200,OK,entryTask 1-1,text,true,,208,138,1,1,http://127.0.0.1:8080/?a=123&b=%22hello%22,0,0,0
1547521621505,0,HTTP Request,200,OK,entryTask 1-1,text,true,,208,138,1,1,http://127.0.0.1:8080/?a=123&b=%22hello%22,0,0,0
1547521621506,0,HTTP Request,200,OK,entryTask 1-1,text,true,,208,138,1,1,http://127.0.0.1:8080/?a=123&b=%22hello%22,0,0,0
1547521621506,1,HTTP Request,200,OK,entryTask 1-1,text,true,,208,138,1,1,http://127.0.0.1:8080/?a=123&b=%22hello%22,1,0,1
1547521621507,1,HTTP Request,200,OK,entryTask 1-1,text,true,,208,138,1,1,http://127.0.0.1:8080/?a=123&b=%22hello%22,1,0,1
1547521621508,1,HTTP Request,200,OK,entryTask 1-1,text,true,,208,138,1,1,http://127.0.0.1:8080/?a=123&b=%22hello%22,1,0,0
1547521621509,1,HTTP Request,200,OK,entryTask 1-1,text,true,,208,138,1,1,http://127.0.0.1:8080/?a=123&b=%22hello%22,1,0,0
1547521621510,1,HTTP Request,200,OK,entryTask 1-1,text,true,,208,138,1,1,http://127.0.0.1:8080/?a=123&b=%22hello%22,1,0,0
1547521621511,1,HTTP Request,200,OK,entryTask 1-1,text,true,,208,138,1,1,http://127.0.0.1:8080/?a=123&b=%22hello%22,1,0,1
1547521621512,1,HTTP Request,200,OK,entryTask 1-1,text,true,,208,138,1,1,http://127.0.0.1:8080/?a=123&b=%22hello%22,1,0,1
1547521621513,1,HTTP Request,200,OK,entryTask 1-1,text,true,,208,138,1,1,http://127.0.0.1:8080/?a=123&b=%22hello%22,1,0,0
1547521621514,1,HTTP Request,200,OK,entryTask 1-1,text,true,,208,138,1,1,http://127.0.0.1:8080/?a=123&b=%22hello%22,1,0,0
1547521621515,1,HTTP Request,200,OK,entryTask 1-1,text,true,,208,138,1,1,http://127.0.0.1:8080/?a=123&b=%22hello%22,1,0,0
1547521621516,1,HTTP Request,200,OK,entryTask 1-1,text,true,,208,138,1,1,http://127.0.0.1:8080/?a=123&b=%22hello%22,1,0,0
1547521621517,1,HTTP Request,200,OK,entryTask 1-1,text,true,,208,138,1,1,http://127.0.0.1:8080/?a=123&b=%22hello%22,1,0,0
1547521621518,1,HTTP Request,200,OK,entryTask 1-1,text,true,,208,138,1,1,http://127.0.0.1:8080/?a=123&b=%22hello%22,1,0,0
1547521621519,1,HTTP Request,200,OK,entryTask 1-1,text,true,,208,138,1,1,http://127.0.0.1:8080/?a=123&b=%22hello%22,1,0,0
1547521621520,1,HTTP Request,200,OK,entryTask 1-1,text,true,,208,138,1,1,http://127.0.0.1:8080/?a=123&b=%22hello%22,1,0,0
1547521621521,1,HTTP Request,200,OK,entryTask 1-1,text,true,,208,138,1,1,http://127.0.0.1:8080/?a=123&b=%22hello%22,1,0,0
1547521621522,1,HTTP Request,200,OK,entryTask 1-1,text,true,,208,138,1,1,http://127.0.0.1:8080/?a=123&b=%22hello%22,1,0,0
1547521621523,1,HTTP Request,200,OK,entryTask 1-1,text,true,,208,138,1,1,http://127.0.0.1:8080/?a=123&b=%22hello%22,1,0,0
1547521621524,0,HTTP Request,200,OK,entryTask 1-1,text,true,,208,138,1,1,http://127.0.0.1:8080/?a=123&b=%22hello%22,0,0,0
1547521621525,0,HTTP Request,200,OK,entryTask 1-1,text,true,,208,138,1,1,http://127.0.0.1:8080/?a=123&b=%22hello%22,0,0,0
1547521621525,1,HTTP Request,200,OK,entryTask 1-1,text,true,,208,138,1,1,http://127.0.0.1:8080/?a=123&b=%22hello%22,1,0,1
1547521621526,1,HTTP Request,200,OK,entryTask 1-1,text,true,,208,138,1,1,http://127.0.0.1:8080/?a=123&b=%22hello%22,1,0,0
1547521621527,1,HTTP Request,200,OK,entryTask 1-1,text,true,,208,138,1,1,http://127.0.0.1:8080/?a=123&b=%22hello%22,1,0,0
1547521621528,0,HTTP Request,200,OK,entryTask 1-1,text,true,,208,138,1,1,http://127.0.0.1:8080/?a=123&b=%22hello%22,0,0,0
